 BadLandings	83	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	252°]		 Bad Chance	0,0282484914284547%
 BadLandings	84	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	252,5°]		 Bad Chance	0,0285655017156304%
 BadLandings	85	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	253°]		 Bad Chance	0,0288819949643392%
 BadLandings	86	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	253,5°]		 Bad Chance	0,0291979724384721%
 BadLandings	87	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	254°]		 Bad Chance	0,0295134353978038%
 BadLandings	88	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	254,5°]		 Bad Chance	0,02982838509801%
 BadLandings	89	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	255°]		 Bad Chance	0,0301428227906835%
 BadLandings	90	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	255,5°]		 Bad Chance	0,0304567497233512%
 BadLandings	91	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	256°]		 Bad Chance	0,0307701671394903%
 BadLandings	92	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	256,5°]		 Bad Chance	0,0310830762785449%
 BadLandings	93	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	257°]		 Bad Chance	0,0313954783759423%
 BadLandings	94	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	257,5°]		 Bad Chance	0,0317073746631091%
 BadLandings	95	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	258°]		 Bad Chance	0,0320187663674878%
 BadLandings	96	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	258,5°]		 Bad Chance	0,0323296547125523%
 BadLandings	97	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	259°]		 Bad Chance	0,0326400409178245%
 BadLandings	98	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	259,5°]		 Bad Chance	0,0329499261988898%
 BadLandings	99	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	260°]		 Bad Chance	0,0332593117674133%
 BadLandings	100	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	260,5°]		 Bad Chance	0,0335681988311553%
 BadLandings	101	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	261°]		 Bad Chance	0,0338765885939874%
 BadLandings	102	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	261,5°]		 Bad Chance	0,0341844822559077%
 BadLandings	103	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	262°]		 Bad Chance	0,0344918810130567%
 BadLandings	104	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	262,5°]		 Bad Chance	0,0347987860577325%
 BadLandings	105	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	263°]		 Bad Chance	0,0351051985784066%
 BadLandings	106	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	263,5°]		 Bad Chance	0,0354111197597389%
 BadLandings	107	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	264°]		 Bad Chance	0,035716550782593%
 BadLandings	108	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	264,5°]		 Bad Chance	0,0360214928240517%
 BadLandings	109	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	265°]		 Bad Chance	0,0363259470574317%
 BadLandings	110	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	265,5°]		 Bad Chance	0,0366299146522989%
 BadLandings	111	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	266°]		 Bad Chance	0,0369333967744833%
 BadLandings	112	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	266,5°]		 Bad Chance	0,0372363945860942%
 BadLandings	113	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	267°]		 Bad Chance	0,0375389092455344%
 BadLandings	114	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	267,5°]		 Bad Chance	0,0378409419075154%
 BadLandings	115	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	268°]		 Bad Chance	0,0381424937230722%
 BadLandings	116	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	268,5°]		 Bad Chance	0,0384435658395776%
 BadLandings	117	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	269°]		 Bad Chance	0,038744159400757%
 BadLandings	118	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	269,5°]		 Bad Chance	0,0390442755467026%
 BadLandings	119	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	270°]		 Bad Chance	0,0393439154138881%
 BadLandings	120	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	270,5°]		 Bad Chance	0,0396430801351829%
 BadLandings	121	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	271°]		 Bad Chance	0,0399417708398665%
 BadLandings	122	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	271,5°]		 Bad Chance	0,0402399886536425%
 BadLandings	123	 	 LegsAngles	[30	150	270]		 CopterRadialCoordinats 	[1	272°]		 Bad Chance	0,040537734698653%
